"","gene_ID","gene_symbol","annotation_ID","primary_FBgn"
"1","3771857","CG33651","CG33651","FBgn0053651"
"2","31514","CG11462","CG11462","FBgn0029815"
"3","318117","CG32613","CG32613","FBgn0052613"
"4","318966","CG31828","CG31828","FBgn0051828"
"5","5740557","CG34365","CG34365","FBgn0263980"
"6","317931","CG32233","CG32233","FBgn0052233"
"7","317831","CG32033","CG32033","FBgn0052033"
"8","50003","PQBP-1","CG31369","FBgn0266801"
"9","318678","CG31315","CG31315","FBgn0051315"
"10","5740629","CG34372","CG34372","FBgn0264339"
"11","318768","CG31498","CG31498","FBgn0264339"
"12","50146","CG15234","CG15234","FBgn0040673"
"13","260656","CG31771","CG31771","FBgn0028873"
"14","318802","CG31563","CG31563","FBgn0051563"
"15","39533","CG34400","CG34400","FBgn0264006"
"16","318984","CG31856","CG31856","FBgn0051856"
"17","49228","mod(mdg4)","CG32491-","FBgn0002781"
"18","319008","CG31894","CG31894","FBgn0051894"
"19","3885618","CG34016","CG34016","FBgn0054016"
"20","42038","CG10349","CG10349","FBgn0015350"
"21","318923","CG31736","CG31736","FBgn0051736"
"22","42504","slmb","CG3412","FBgn0283468"
"23","34892","CG3975","CG3975","FBgn0283467"
"24","36486","IM10","CG18279","FBgn0283462"
"25","38419","Drs","CG10810","FBgn0283461"
"26","44505","br","CG11491","FBgn0283451"
"27","35656","CG1707","CG1707","FBgn0283450"
"28","34884","vas","CG3506","FBgn0283442"
"29","41603","CG12360","CG12360","FBgn0283438"
"30","37044","proPO-A1","CG5779","FBgn0283437"
"31","33524","CG3523","CG3523","FBgn0283427"
"32","117294","Dsp1","CG12223","FBgn0278608"
"33","41180","dmt","CG8374","FBgn0278604"
"34","36547","Aats-phe","CG13348","FBgn0275436"
"35","42795","VAChT","CG32848","FBgn0270928"
"36","43746","CG2135","CG2135","FBgn0270927"
"37","2768965","asparagine-synthetase","CG33486","FBgn0270926"
"38","42387","CG4836","CG4836","FBgn0270925"
"39","34292","zf30C","CG3998","FBgn0270924"
"40","38845","CG32372","CG32372","FBgn0268063"
"41","35509","ap","CG8376","FBgn0267978"
